4,4,4,3,3,3,2,2,0
5,6,3,4,3,3,3,3,1
5,4,4,3,3,3,2,2,0
5,5,4,4,4,4,2,2,0
5,5,4,4,3,3,2,2,0
5,4,4,4,3,3,2,2,0
5,4,4,4,3,3,2,2,0
5,5,5,4,5,4,3,2,0
5,5,3,3,3,3,2,2,0
5,4,4,3,3,3,2,2,0
5,5,3,3,3,3,2,2,0
5,5,4,3,3,3,2,2,0
5,9,4,3,3,3,2,2,0
5,4,4,3,3,3,2,2,0
5,5,4,3,4,3,2,2,0
5,5,4,3,2,3,2,2,0
5,6,4,3,3,1,2,2,0
6,5,5,5,4,4,2,2,0
7,6,6,4,4,3,3,3,1
8,3,4,3,3,3,3,3,1
8,6,4,4,3,3,3,3,1
8,6,4,3,3,3,2,3,1
8,5,4,3,3,3,3,3,1
8,7,4,3,2,3,2,3,1
8,5,4,3,2,3,2,3,1
8,5,3,3,3,3,3,3,1
8,6,4,3,3,3,3,3,1
8,10,4,3,2,3,3,3,1
8,5,4,3,2,3,2,3,1
8,6,6,4,5,3,3,3,1
8,6,6,4,5,3,3,3,1
8,6,4,3,3,3,3,3,1
8,6,4,4,3,3,3,3,1
8,5,3,3,2,2,3,3,1
8,6,4,4,3,3,3,3,1
8,6,3,3,3,3,3,3,1
8,6,3,3,3,3,3,3,1
8,6,3,3,3,3,2,3,1
8,6,3,4,3,3,3,3,1
8,6,3,4,3,3,3,3,1
8,6,3,4,3,3,3,3,1
8,6,4,4,3,3,3,3,1
8,6,4,4,3,3,3,3,1
8,6,4,4,3,3,3,3,1
8,6,5,4,4,3,3,3,1
8,6,4,4,3,3,3,3,1
8,6,4,2,3,3,3,3,1
8,6,4,6,3,3,3,3,1
8,6,4,4,3,3,3,3,1
8,9,4,3,3,3,2,3,1
8,4,4,3,3,3,2,3,1
8,6,4,2,3,3,3,3,1
8,6,4,5,3,3,3,3,1
8,7,7,6,6,6,3,2,0
8,7,7,3,6,6,3,2,0
8,7,7,5,6,6,3,2,0
8,7,7,5,6,6,2,2,0
8,7,7,4,6,6,2,2,0
8,7,7,3,6,6,2,2,0
8,7,7,6,6,6,2,2,0
8,8,7,7,7,7,2,2,0
10,6,5,3,3,3,3,3,1
10,6,7,4,6,6,4,2,0
,,,,,,,,
,,,,,,,,
